Наименование	Штрихкод
Криотопы для витрификации(цвет желтый),шт НеуказанаСтрана		
Кружка Эсмарха одноразовая 1,5л		
Ксарелто 15мг.  №28, таблетка		
Ксарелто таб. 10мг 30шт НеуказанаСтрана		
Ксилен капли в нос с крышкой-капельницей 0,1% 10мл , флакон		
Кювета д/коагулометра АСКа 2-01 "Астра" 		
Кюретка жесткая 10мм,однор.стерил. НеуказанаСтрана		
Кюретка жесткая 6 мм,однор.стерил. НеуказанаСтрана		
Кюретка жесткая 8 мм,однор.стерил. НеуказанаСтрана		
Лазикс (фуросемид)  2мл, № 10, ампула НеуказанаСтрана		
Лазолван р-р д/приема внут. и ингал-ций 7,5мг/5мл 100 мл., флакон		
Лактофильтрум таблетка №30 (ст)		
Ланцет One Touch Ultra Soft №25, №100 		
Латран р-р для в/в и в/м введ. 2мг/мл, 2 мл. № 5, ампула НеуказанаСтрана		
Латран р-р для в/в и в/м введ. 2мг/мл, 4 мл. № 5, ампула НеуказанаСтрана		
Левомеколь мазь туба 1/40 г., штука		
Левосин мазь, туба 40 г * №1 НеуказанаСтрана		
Левофлоксацин раствор д/инфузий 5 мг/мл, 100 мл, флакон НеуказанаСтрана		
Лезвие для скальпеля нержавеющие стальные одноразовые ВСЕ РАЗМЕРЫ НеуказанаСтрана		
Лейковорин ЛЭНС лиофилизат для приготовления р-ра в/м и в/в введения 10мг/мл. 5 мл №5, флакон НеуказанаСтрана		
Лейкопластырь на бумажной основе 2см*500см НеуказанаСтрана		
Лейкопластырь на тканевой основе 2*500; 3*500; 5*500, штука НеуказанаСтрана		
Лендацин (цефтриаксон) 1г флакон * №1		
Лента СтериТ самоклей 19мм*50м д/пар стерилиз с индикатором,штука НеуказанаСтрана		
Леспефрил р-р д/приема внутрь 100 мл., флакон * №1		
Лефлобакт(Левофлоксацин) р-р 5мг/мл 100 мл,фл НеуказанаСтрана		
Лигатор однораз геморроид узлов д/вакуум всасывания НеуказанаСтрана		
Лидокаин 10%  2мл №10., ампула 		
Лидокаин 2%  2мл №10, ампула		
Лидокаин icn cпрей 10% 38г		
Линекс, капсулы №48, штука НеуказанаСтрана		
Линимент бальзам по Вишневскому 30 г., туба НеуказанаСтрана		
Линкомицина 30% г/хл  1мл №10., ампула		
Липримар 20 мг таблетка №30 (ст)		
Листенон (миорелакс) 2%  5мл №5, ампула НеуказанаСтрана		
Лонгеты гипсовые 40см*5м (пластрон) рулон №1 (дг) НеуказанаСтрана		
Лонгидаза Лиофилизат для приготовления р-ра для в/м и подкожного введения  3000МЕ №5, ампула * №5		
Лоперамид-Акрихин капс. 2 мг. № 10, штука НеуказанаСтрана		
Лориста Лозартан 25мг - 50мг таблетка №30 (кардио) (ст) НеуказанаСтрана		
Магистраль/Устройство для регулирования инфузионных потоков (кран 3-х ход.KD-Flex 360) ДискофиксС НеуказанаСтрана		
Магневист, контраст.ср-во д/МРТ 20 мл р-р для в/в введ, флакон * №1		
Магневист, контрастное ср-во д/МРТ, 15 мл., р-р для в/в введ., флакон * №1		
Магния сульфат 0,25%  5мл №10., ампула		
Магния сульфат 25% 10мл №10, ампула НеуказанаСтрана		
Маннит раствор для внутривенного введения15%  200 мл., флакон 		
Марля 1000м рулон		
Марля медицинская 10 м НеуказанаСтрана		
Маска анестезиологическая, силиконовая Apexmed/AERObag, ВСЕ РАЗМЕРЫ штука НеуказанаСтрана		
Маска кислородная взрослая, ВСЕ РАЗМЕРЫ, штука НеуказанаСтрана		
Маска кислородная детская, ВСЕ РАЗМЕРЫ, штука НеуказанаСтрана		
Маска кислородная, стерильная с трубкой 2 м, штука		
Маска кислородная, стерильная с трубкой 2 м, штука * №1 РОССИЯ		
Маска медицинская одноразовая 3-слойная, 9*17,5, штука	32
Маска медицинская одноразовая 3-слойная, 9*17,5, штука * №1 Северная Китайская Фармацевтическая Корпорация Лтд КИТАЙ		
Маска наркозная с клапаном взрослая, ВСЕ РАЗМЕРЫ, штука		
Маска наркозная с клапаном взрослая, ВСЕ РАЗМЕРЫ, штука * №1 РОССИЯ		
Масло иммерсионное тип А (классич) 100 мл Агат НеуказанаСтрана		
Мексидол 5% 2мл, ампула НеуказанаСтрана		
Мексидол р-р для в/м и в/в 50мг/мл амп 5мл №5 * №1 НеуказанаСтрана		
Мексидол р-р для в/м и в/в 50мг/мл амп 5мл №5 р-р №1 РОССИЯ		
Меналинд Профэшнл гель тонизир д/массажа 200 мл., штука		
Мериоферт лиоф д/пригот/р-ра для в/м и п/к введ 75МЕ ФСГ + 75МЕ ЛГ НеуказанаСтрана		
Меропенем порош. флак 1г (а/б.шир.сп.действ.)		
Метилурациловая мазь 10%  25 г., туба НеуказанаСтрана		
Метрогил (метронидазол) р-р для в/в инф 500мг, 100мл №1,флакон		
Мешок дыхательный реанимационный, штука НеуказанаСтрана		
Мидазолам 5мг/мл 1 мл, № 10, ампула НеуказанаСтрана		
Мидазолам р-р д/в/в и в/м введения 5мг/мл 1 мл № 10 р-р д/в/в, в/м введения 5мг/мл 1мл амп.0 №1 Московский эндокринный завод ФГУП РОССИЯ		
Мидокалм 10% 1мл №5, ампула НеуказанаСтрана		
Мидокалм 150мг таблетка №30 (ст) НеуказанаСтрана		
Микроинструмент для отделения зоны манипуляции(рассечение зон)60мм		
Микроинструмент для отделения зоны манипуляции(рассечения зон) 60мм НеуказанаСтрана		
Милдронат (мельдоний) раствор д/иньекций 100мг/мл 5мл №10, ампула 		
Милдронат 250 мг, № 40, капсула НеуказанаСтрана		
Мильгамма р-р д/ин. ампула 2мл №5 (вит.гр.В) (дс) * №5		
Минипластина с комплектом винтов, штука НеуказанаСтрана		
Мирамистин 0,01% р-р, 500 мл, флакон	223
Мирамистин с распылителем 0,01% р-р 150мл  флакон * №1		
Мирена, внутриматочная терапевтическая система 20 мкг/сут № 1 * №1		
Миролют, 2 мг. № 4, таблетка		
Миропристон, 200 мг. № 3, таблетка		
Миросептик кожн антисептик,1 л НеуказанаСтрана		
Мовалис р-р для в/м введ 15мг, 1,5мл №3, ампула НеуказанаСтрана		
Мовипреп, порошок для раствора д/приема внутрь № 4		
Монофил ВСЕ РАЗМЕРЫ с иглой Шовный материал НеуказанаСтрана		
Монурал, гранулы для раствора для приема внутрь, 3 г пакет * №1		
Морфин 10мг/мл ампула 1мл №1 (Б)		
Морфина сульфат 60 мг. № 20, капсула * №20		
Мотилиум 10мг таблетка №30 НеуказанаСтрана		
Мочеприемник 2000 мл взрослый одноразовый НеуказанаСтрана		
Мочеприемник педиатрич Меридиан 100мл унивест PD 2100 (в усл) * №1		
МСТ Континус 100 мг. п/о пролонг. действ. №20, таб. НеуказанаСтрана		
Мукалтин 50мг таб, штука * №1		
Мукофальк гранулы д*приг сусп 5 гр №20, шт НеуказанаСтрана		
Мыло иммерсионное тип А 100мл * №1		
Набор для артроскопии  д/FMS DUO/VUE (трубки для промывания) д/пац.однораз.пошт (оп) * №1		
Набор для артроскопии SOLO и DUOплюс ирригац.для пац./день одноразов.пошт (оп) * №1		
Набор для взятия проб на энтеробиоз (контейнер+шпатель с р-ром клеола) НеуказанаСтрана		
Набор для закрытого дренирования плевральной полости и груд.дренажа, базовый Плевракан Б НеуказанаСтрана		
Набор для катетеризации круп.сосуд/центр.вен Балтон, детский 8см, 10см, 20см, штука НеуказанаСтрана		
Набор для катетеризации центральных вен Цертофикс Дуо 720 с 2-х канальным центр. катетером, штука НеуказанаСтрана		
Набор для катетеризации центральных вен Цертофикс Дуо S730 (по Сельдингеру) 30см, штука * №1 НеуказанаСтрана		
Набор для крикотиреотомии взрослый манжетой, штука НеуказанаСтрана		
Набор для минитрахеостомии 100/462/000, штука НеуказанаСтрана		
Набор для опред. антиспермальных антител класса IgG-SpermMar Test * №1 БЕЛЬГИЯ		
Набор для определения морфологии сперматозоидов(200 мазков) НеуказанаСтрана		
Набор для опредения жизнеспособности спермы(200 опр) НеуказанаСтрана		
Набор для чрескожного дренирования полостей Ившина с катетером диаметр 9, 12 обр УДПО (оп) * №1		
Набор Перификс д/эпидур.анестезии ВСЕ РАЗМЕРЫ НеуказанаСтрана		
Набор реагентов для замораживания бластоцит НеуказанаСтрана		
Набор реагентов для размораживания бластоцит НеуказанаСтрана		
Набор/зонд одноразовый для обеспечения доставки питательных смесей НеуказанаСтрана		
Наволочка 50х60см не стерильная спанбонд пл.25г/кв.м 		
Наком таблетка №100 (п/паркинс.) НеуказанаСтрана		
Наконечник 0,1-20 мкл, нестерильный, неокрашенный BRAND GMBH + CO KG Биомедицина НеуказанаСтрана		
Наконечник 1-к  0,5-5 мл к пипеточ дозатору НеуказанаСтрана		
Наконечник 1-кан 0,5-250 мкл (пипеточный НП-Термо Фишер) НеуказанаСтрана		
Наконечник 1-кан 100-1000 мкл НеуказанаСтрана		
Наконечник 2-200 мкл, нестерильный, неокрашенный BRAND GMBH + CO KG Биомедицина		
Наконечник 5-1000 мкл, нестерильный, неокрашенный BRAND GMBH + CO KG Биомедицина		
Наконечник для пипетки Tip set (д/анализатора) НеуказанаСтрана		
Налоксон 0,4 мг  1мл №10, ампула НеуказанаСтрана		
Натрия гидрокарбонат 4% 200мл (рег.в/эл.бал.)		
Натрия тиосульфат 30% 10 мл №10, ампула НеуказанаСтрана		
Натрия хлорид 0,9% 10мл, ампула НеуказанаСтрана		
Натрия хлорид 0,9% ампула 5мл №10 - НеуказанаСтрана		
Натрия хлорид 0,9% р-р д/инф 1000 мл., флакон НеуказанаСтрана		
Натрия хлорид 0,9% р-р д/инф. 400мл. стекло, флакон НеуказанаСтрана		
Натрия хлорид 0,9% раствор для инфузий 250мл. флакон	23
Натрия хлорид 0,9% раствор для инфузий 500мл. флакон	23
Натрия хлорид 0,9% раствор для инфузий, 100мл, флакон	23
Нейпомакс раствор для внутривенного и подкожного введения 30млн ЕД/мл. 1мл №5., флакон * №5		
Нейрокс р-р в/в и в/м введ 50 мг/мл, 2 мл № 10, ампула * №10		
Нейромидин р-р 15мг/мл амп.1 мл		
Никотиновая кислота 1%  1мл №10., ампула 		
Нитроглицерин 1мг/мл (0,1%) р-р для в/в введ 5-10 мл №10, ампула НеуказанаСтрана		
Нифедипин 10мг №50, таблетка НеуказанаСтрана		
Ницерголин лиофил. д/пригот. р-ра д/ин. пам 0,04 г		
Но-шпа (дротаверин) 20 %,  2мл №5, ампула НеуказанаСтрана		
Но-шпа (дротаверин) 40мг, №24, таблетка НеуказанаСтрана		
Но-шпа р-р для в/в и в/м введ. 20мг/мл. 2мл. №25, ампула		
Новокаин 0,5% 10мл, № 10 ампула 		
Новокаин 0,5% ампула 5мл №10 (ст) - НеуказанаСтрана		
Новокаин 2%  2мл №10, ампула		
Новокаинамид 10% 5 мл. №10, ампула * №10		
Нолицин 400мг таблетка №10 (ст) НеуказанаСтрана		
Нолтрекс материал БВИСА, 2,5 мл, шприц НеуказанаСтрана		
Нольпаза 20мг таблетка №28 НеуказанаСтрана		
Норадреналин 2мг 4 - 8 мл,  ампула НеуказанаСтрана		
Носовая вкладка Меросель, с трубкой саморасшир. НеуказанаСтрана		
Носовая вкладка Меросель, саморасшир. НеуказанаСтрана		
Нутридринк (энтер.пит) Компакт Протеин (ваниль) 125мл		
Нутризон (энтеральное питание) Эдванст Диазон смесь 1000мл (ст/рн) (ст/рн) НеуказанаСтрана		
Оксалиплатин Медак 50 мг №1		
Оксалиплатин Медак лиоф д р-ра д/инф 150 мг, № 1, флакон * №1		
Оксалиплатин порошок д/приготовления р-ра 100 мг. №1		
Окситоцин 5МЕ  1мл №5, ампула 		
Октолипен таб. 600 мг,штука НеуказанаСтрана		
Омез (омепразол), 20мг,  №30, капсула 		
Омез (омепразол), лиофилизат для приготовления  р-ра д/инфузий,  40мг, флакон		
Омник 0,4мг капсула №30 (ст)		
Омнискан р-р д/ин. 0,5ммоль/мл фл. 15мл №10 (констраст.в-во д/МРТ)		
Омнискан р-р д/ин. 0,5ммоль/мл фл. 20мл №10 (констраст.в-во д/МРТ)		
Ондансетрон, раствор для иньекций, 2мл №5, ампула		
Ондансетрон, раствор для иньекций, 4мл №5, ампула НеуказанаСтрана		
Оргалутран,р-р д/п/к 0,25 мг/0,5 мл № 5		
Отсос OP-Flex Yankauer с в/к, плоский, соед трубка 350см НеуказанаСтрана		
Офломелид мазь, туба 30 г * №1		
Офтан-дексаметазон  5мл глазные капли, флакон * №1		
Пакет гипотермический охлаждающий д/оказ.1й помощи Снежок, Апполо НеуказанаСтрана		
Пакет для утилизации мед. отходов кл. А 500*600 мм 35л * №1 РОССИЯ		
Пакет для утилизации мед. отходов кл. А 500*600 мм 35л НеуказанаСтрана		
Пакет для утилизации мед. отходов кл. А 70*80 мм белые * №1 РОССИЯ		
Пакет для утилизации мед. отходов кл. А 700*800 мм НеуказанаСтрана		
Пакет для утилизации мед. отходов кл. Б 330*300мм НеуказанаСтрана		
Пакет для утилизации мед. отходов кл. Б 500*600 мм 35л 		
Пакет для утилизации мед. отходов кл. Б 70*80 мм желтые * №1 РОССИЯ		
Пакет для утилизации мед. отходов кл. Б 700*800 мм 		
Пакет для утилизации мед. отходов кл. Б мал * №1 РОССИЯ		
Пакет для утилизации медицинских отходов класБ 500*600; 600*800; 600*900; 600*1000мм, штука		
Пакет из крафт-бумаги 100х200мм самоклеющ м-70 * №100 РОССИЯ		
Пакет из крафт-бумаги 100х300мм самоклеющ м-70 * №100 РОССИЯ		
Пакет из крафт-бумаги 130х270 мм самоклеющ м-70 * №1 РОССИЯ		
Пакет из крафт-бумаги 130х280мм самоклеющ м-70 * №100 РОССИЯ		
Пакет из крафт-бумаги 150х250мм самоклеющ м-70 * №1 РОССИЯ		
Пакет из крафт-бумаги 150х300мм самоклеющ м-70 * №1 РОССИЯ		
Пакет из крафт-бумаги 200х330мм самоклеющ м-70 * №1 РОССИЯ		
Пакет из крафт-бумаги 250х320мм самоклеющ м-70 * №100 РОССИЯ		
Пакет из крафт-бумаги 300х390мм самоклеющ м-70 * №100 РОССИЯ		
Пакет из крафт-бумаги 300х450мм самоклеющ м-70 * №100 РОССИЯ		
Пакет из крафт-бумаги 350х400мм самоклеющ м-70 * №100 РОССИЯ		
Пакет из крафт-бумаги 450х500мм самоклеющ м-70 * №100 РОССИЯ		
Пакет из крафт-бумаги 75х150мм самоклеющ м-70 * №100 РОССИЯ		
Пакет комбинированный  д/автоклавов Пик-Пак, СтериТ, штука НеуказанаСтрана		
Панавир р-р д/ин в/в 0,00004% 5мл №5., флакон		
Панангин 10 мл №5, ампула		
Пантенол аэрозоль 130 г (смп/дг)		
Пантогам 250мг таблетка №50 (ст) НеуказанаСтрана		
Папаверин буфус Реневал р-р для в/м и в/в 0,02г/1мл амп 2мл №10 НеуказанаСтрана		
Парацетамол 250мг суппозитории №10 д/детей		
Парацетамол 500 мг№20,  таблетка НеуказанаСтрана		
Парацетамол р-р д/инф 1% (10мг/мл) 100 мл., флакон НеуказанаСтрана		
Парацетамол сироп 2,4 % 100 мл, флакон * №1 НеуказанаСтрана		
Парацетомол 2,4% флакон 100мл суспензия д/пр.внутрь НеуказанаСтрана		
ПГА  ВСЕ РАЗМЕРЫ Шовный материал НеуказанаСтрана		
ПДС II M 4 петля 150 см игла колющ, все размеры НеуказанаСтрана		
Пеленка  ЭЛАРА, нестерильная, впитывающая, смотровая, 60*90, №30, штука НеуказанаСтрана		
Пеленка стерильная хирургическая впитывающая 90*60см	32
Пеленки впитывающие 60*90 * №1 РОССИЯ		
Пена очищающая уход за пролежнями 400мл (TENA) НеуказанаСтрана		
Пенкан-спинальная игла со стилетом, нов. павильон, напр. игла G 25-88 мм (25шт/уп) НеуказанаСтрана		
Пентамин раствор для иньекций 5% 1мл №10, ампула НеуказанаСтрана		
Перекись водорода 3% 100 мл. р-р д/наружн. прим. НеуказанаСтрана		
Перекись водорода 6%. 2л НеуказанаСтрана		
Перфалган (парацетамол) 1% р-р д/инфузий 100мл №12, флакон 14мл полимерные градуиров. 12 НеуказанаСтрана		
Перчатки Encore Underglov ортопедические стерильные неопудренные, пара		
Перчатки смотровые нитриловые нестерильные текстур на пальцах Sense р.S,M,L, пара	23
Перчатки стерильные хирургические латексные неопудренные, пара		
Петля для полипэктомии одноразовая, стерильная WS-2423 DT20, штука НеуказанаСтрана		
Пикамилон 0,05г таблетка №30 * №30		
Пинцет одноразовый стерильный 20см, штука НеуказанаСтрана		
Пипетка 10 мл Stripettes, штука * №1		
Пипетка Пастеровская 5 мл. стерил * №1 НеуказанаСтрана		
Пипетка стекло к СОЭ-метру (Панченкова), штука		
Пипетка-груша (Пастера)  на 3 мл стерильная, инд. упак/1000 шт, штука НеуказанаСтрана		
Пипетки серлогические 5 мл с фильтром,шт НеуказанаСтрана		
Пирацетам 20%  5мл №10., ампула НеуказанаСтрана		
Пиридоксина г/хл 5% 1мл №10., ампула		
Плагрил 75мг таблетка №30 (ст)		
Плазма-Лит 148 водный раствор д/инфузий, 1000мл., флакон		
Плазмофильтр мемранный одноразовый стерильный ПФМ-01-ТТ (торговая марка "Роса" НеуказанаСтрана		
Планшеты 4-лунучные * №1		
Пластина д/ключицы крючковидная (правая) НеуказанаСтрана		
Пластина д/ключицы крючковидная, левая НеуказанаСтрана		
Пластина для дистального отдела лучевой кости 4 отв левая (90,04,04) НеуказанаСтрана		
Пластина для дистального отдела лучевой кости 6 отв левая (90,05,06)		
Пластина для дистального отдела лучевой кости 6 отв правая (90,04,06)		
Пластина для дистального отдела лучевой кости с у/с 3 отв. левая (90.05.03)		
Пластина для дистального отдела лучевой кости с у/с 3 отв. правая (90.04.03)		
Пластина ЛТМ Т-образная с у/с 5 отв. Л (85.20.05) НеуказанаСтрана		
Пластина ЛТМ Т-образная с у/с 5 отв. П (85.16.05) НеуказанаСтрана		
Пластина ЛТМ Т-образная с у/с 5 отв. П (85.17.05) НеуказанаСтрана		
Пластина медиальная для дистальной голени с у/с 10 отв. левая (90.08.10) НеуказанаСтрана		
Пластина медиальная для дистальной голени с у/с 10 отв. правая (90.09.10)		
Пластина медиальная для дистальной голени с у/с 4 отв. левая (90.08.04)		
Пластина медиальная для дистальной голени с у/с 4 отв. правая (90.09.04)		
Пластина медиальная для дистальной голени с у/с 6 отв. левая (90.08.06)		
Пластина медиальная для дистальной голени с у/с 6 отв. правая (90.09.06)		
Пластина медиальная для дистальной голени с у/с 8 отв. левая (90.08.08)		
Пластина медиальная для дистальной голени с у/с 8 отв. правая (90.09.08)		
Пластина опорная мыщелковая для голени с у/с 10 отв. Л (90.38.10) НеуказанаСтрана		
Пластина опорная мыщелковая для голени с у/с 10 отв. П (90.39.10)		
Пластина опорная мыщелковая для голени с у/с 12 отв. Л (90.38.12)		
Пластина опорная мыщелковая для голени с у/с 12 отв. П (90.39.12)		
Пластина опорная мыщелковая для голени с у/с 6 отв. Л (90.38.06)		
Пластина опорная мыщелковая для голени с у/с 6 отв. П (90.39.06)		
Пластина опорная мыщелковая для голени с у/с 8 отв. Л (90.38.08)		
Пластина опорная мыщелковая для голени с у/с 8 отв. П (90.39.08)		
Пластина пяточная левая ChM (титан) НеуказанаСтрана		
Пластина пяточная левая НеуказанаСтрана		
Пластина пяточная правая (титан)		
Пластина пяточная правая НеуказанаСтрана		
Пластина реконструктивная пяточная с у/с НеуказанаСтрана		
Пластина реконструктивная с у/с 10 отв (90.07.10) НеуказанаСтрана		
Пластина реконструктивная с у/с 14 отв (90.07.14) НеуказанаСтрана		
Пластина реконструктивная с у/с 16 отв (90.07.16) НеуказанаСтрана		
Пластина реконструктивная с у/с 6 отв (90.07.06) НеуказанаСтрана		
Пластина с ограниченным контактом на бедро 141,5 мм, 08 отверстий 0251.1608-06 (Лиц) * №1		
Пластина с ограниченным контактом на бедро 195,5 мм, 11 отверстий 0251.1611-12 (Лиц) * №1		
Пластина с ограниченным контактом на бедро 213,5 мм, 12 отверстий0251.1612-13 (Лиц) * №1		
Пластина с ограниченным контактом на бедро 249,5 мм, 14 отверстий 0251.1614-10 (Лиц) * №1		
Пластина с ограниченным контактом на голень 123,5 мм, 7 отверстий 0246.1407-13 (Лиц) * №1		
Пластина с ограниченным контактом на голень 141,5 мм, 8 отверстий 0246.1408-13 (Лиц)		
Пластина с ограниченным контактом на голень 159,5 мм, 9 отверстий 0246.1409-14 (Лиц)		
Пластина с ограниченным контактом на голень 177,5 мм, 10 отверстий 0246.1410-13 (Лиц)		
Пластина с ограниченным контактом на голень105,5 мм, 6 отверстий 0246.1406-13 (Лиц) * №1		
Пластина с ограниченным контактом на плечо и предплечье длина 77мм, 6 отверстий 0247.1106-13 (Лиц) * №1		
Пластина с ограниченным контактом на плечо и предплечье длина 90 мм, 7 отверстий 0247.1107-13 (Лиц)		
Пластина с ограниченным контактом на плечо и предплечье длина103 мм, 8 отверстий 0247.1108-13 (Лиц)		
Пластина трубчатая под винты d=2,7 мм 4 отверстия (02.35.0804-13) НеуказанаСтрана		
Пластина трубчатая под винты d=2,7 мм 5 отверстий (02.31.1005-12) НеуказанаСтрана		
Пластина трубчатая под винты d=2,7 мм 6 отверстий (02.35.0806-13) НеуказанаСтрана		
Пластина трубчатая под винты d=3.5мм 5 отверстий (02.31.1005-12) НеуказанаСтрана		
Пластина трубчатая под винты d=3.5мм 6 отверстий (02.32.1206-12) НеуказанаСтрана		
Пластина трубчатая под винты d=3.5мм 7 отверстий (02.31.1007-13) НеуказанаСтрана		
Пластина трубчатая под винты d=4,5 мм 6 отверстий (02.35.0806-13) НеуказанаСтрана		
Пластина трубчатая под винты d=4,5 мм 7 отверстий 0232.1207-07 и 0232.1207-09 (Лиц) * №1		
Пластина трубчатая под винты d=4,5 мм 8 отверстий 0232.1208-08 и 0232.1208-09 (Лиц) * №1		
Пластырь 9,2м*2,5см гипоаллергенный из шелка (бел) OMNISILK, штука * №1		
Пластырь гипоалергенный из нетканного матерериала OMNIFIX 10*2,5(оп) * №1 РОССИЯ		
Пластырь гипоалергенный из нетканного матерериала OMNIFIX 10*5 (оп)		
Пластырь-полоски н/шов стер OMNISTRIP 3х76мм №5	32
Пластырь-полоски на операционный шов стерильные OMNISTRIP 12*101мм №6 (оп)		
Пластырь-полоски на операционный шов стерильные OMNISTRIP 6*38 №6 (оп)		
Пластырь-полоски на операционный шов стерильные OMNISTRIP 6*76 №3 (оп)		
Платифиллин, раствор для подкожного введения,  0,2%, 1мл №10, ампула		
Пленка разрезаемая антимикробная с йодофором, штука НеуказанаСтрана		
Пленка рентгеновская медицинская UPT-514BL 28*36 (1 картридж*125 лист)		
Пленка рентгеновская медицинская UPT-517BL/RU 35*43 (1 картридж*125 лист)		
Повязка  Космопор I.V стер 8*6см НеуказанаСтрана		
повязка космопор е п/оп. самокл с серебром 20*10см №1 -		
Повязка космопор е п/оп. самокл с серебром 20*10см №1 - * №1 РОССИЯ		
Повязка космопор е п/оп.самокл с серебром 6*10 №1 - НеуказанаСтрана		
повязка космопор е п/оп.самокл с серебром 8*15см №1 - НеуказанаСтрана		
Повязка космопор е п/оп.самокл стер 5*7,2см * №1 РОССИЯ		
Повязка космопор е п/оп.самокл стер 5*7,2см №1 - * №1 РОССИЯ		
повязка космопор е п/оп.самокл стер 5*7,2см №1 - НеуказанаСтрана		
Повязка космопор е п/оп.самокл стер 6*15см * №1 РОССИЯ		
повязка космопор е п/оп.самокл стер 6*15см №1 -		
Повязка космопор е п/оп.самокл стер 6*15см №1 - * №1 РОССИЯ		
Повязка космопор е п/оп.самокл стер 8*15см * №1 РОССИЯ		
Повязка космопор е п/оп.самокл стерIV 8*6 * №1 РОССИЯ		
Повязка Космопор Е п/операц. самокл. стерильная 8х10см, 8х15см(ст), 8х20см., штука НеуказанаСтрана		
Повязка Космопор Е п/операц.самокл. стерильная  6х10см(ст); 6х15см., штука		
Повязка Космопор Е п/операц.самокл. стерильная 10х20см; 10х25см; 10х35см. штука	32
Повязка п/операционная Cosmopor E10х6см стер.самоклеющаяся №1 Пауль Хартман АГ ГЕРМАНИЯ		
Повязка п/операционная Cosmopor E10х8см стер.самоклеющаяся №1 Пауль Хартман АГ ГЕРМАНИЯ		
Повязка п/операционная Cosmopor E25х10см стер.самоклеющаяся №1 Пауль Хартман АГ ГЕРМАНИЯ		
Повязка п/операционная Cosmopor E25х10см стер.самоклеющаяся №1 Пауль Хартман АГ ГЕРМАНИЯ		
Повязка п/операционная Cosmopor E7,5х5см стер.самоклеющаяся №1 Пауль Хартман АГ ГЕРМАНИЯ		
Повязка самоклеющаяся 6*7 см.,штука		
Повязка Тендервет Супер Абсорбирующая подушечка с раствором на рануTENDERWET 24 10*10см №1 (оп/дг)		
Подгузники для взрослых р.М, L №1		
Покрывало спасательное (термоизолирующее) НеуказанаСтрана		
Полиоксидоний 3мг пор д/ин флакон №5 (ст) НеуказанаСтрана		
Полиоксидоний лиофилизат для приготовления р-ра для иньекций 6 мг. №5, флакон НеуказанаСтрана		
Полисорб  ВСЕ РАЗМЕРЫ с иглой		
Помпа инфузионная DOSI-FUSER 25915-250D1, D2 (рн) НеуказанаСтрана		
Прадакса 110 мг, № 30, капсула		
Преднизалон 5 мг. № 100, таблетка НеуказанаСтрана		
Преднизолон р-р д/ин 25мг (ампула) 1мл №3 (ГККС) НеуказанаСтрана		
Преднизолон р-р д/ин 30мг  1мл №3 (ГККС), ампула 		
Презервативы VIVA №1 для УЗИ		
Престариум А 10мг  №30, таблетка таблетки 10мг №30 НеуказанаСтрана		
Престариум А 5мг  №30, таблетка		
Проанес(Пропофол) 10 мг/мл 20 мл		
Пробирка 14 мл круглодонная,с крышкой,стер,шт НеуказанаСтрана		
Пробирка 15 мл центрифужная,винтовая крышка,стер,шт НеуказанаСтрана		
Пробирка IMPROVACUTER д/СОЭ с цитртом натрия 4мл (голубая) НеуказанаСтрана		
Пробирка IMPROVACUTER для гематологич. исслед. ЭДТА-КЗ, 2 мл.,(фиол) штука НеуказанаСтрана		
Пробирка PRP Ycellbio, штука НеуказанаСтрана		
Пробирка VACUTTE для гематолог-х исследований ЭДТА-КЗ 2мл/4мл (фиолетовая) * №1 НеуказанаСтрана		
Пробирка VACUTTE для гематолог-х исследований ЭДТА-КЗ 2мл/4мл (фиолетовая) * №1 РОССИЯ		
Пробирка VACUTTE для измерения СОЭ 1,5/2мл (черная), штука		
Пробирка VACUTTE для сыворотки с активатором свертывания 4мл (красная), штука НеуказанаСтрана		
Пробирка для забора крови Regen/Regen BCT-SP, ATS - SP (R-BCT-SP, R-AST-SP), штука НеуказанаСтрана		
Пробирка для крови с голуб крышкой Serum Sample Tube (д/анализатора) НеуказанаСтрана		
Пробирка лабораторная коническая, полипропилен, 12 мл., штука НеуказанаСтрана		
Пробирка тип Эппендорфа 1,5 мл. микроцентрифужная НеуказанаСтрана		
Пробирка центрифужная с крышкой 50 мл, стерильная, штука НеуказанаСтрана		
Проволка стальная хирургическая М6 (4) 4*45см игла таперкат V-40 №12 (*1250р) * №1 НеуказанаСтрана		
Проволка стальная хирургическая М7 (5) 4*45см игла таперкат V-40 №12 (*1250р) * №1 НеуказанаСтрана		
Прозерин 0,05% 1мл №10, ампула		
Пролен ВСЕ РАЗМЕРЫ Шовный материал		
Пролен ВСЕ РАЗМЕРЫ Шовный материал * №1 НеуказанаСтрана		
Промедол 20мг/мл ампула 1мл №1 (Б)		
Пропофол Каби эмульсия д/ин. 1%  20мл №5, ампула		
Простыня нестерильная 200см*70см; 200см*80см пл20-25, штука * №1 КИТАЙ		
Простыня нестерильная 200см*70см; 200см*80см пл20-25, штука НеуказанаСтрана		
Простыня Рулон 0,6*200м с перфор шаг 50см		
Простыня стерил хирург операц 200 х140см пл 25, 42 ВСЕ		
Протамина сульфат 1% (10 мг/мл) 5 мл № 10, ампула		
Пульмикорт 0,5мг/мл контейнер 2мл №20 суспензия д/ингаляций 		
